Label,Full Name,Combination,Dry,Normal,Oily,Sensitive,Hazard (bio) Score,Price (Euro),Online Review,img_url,Product Utilities,
Moisturizer,HERBIVORE Phoenix Cell Regenerating Facial Oil,0,1,0,0,1,3,82,4.4,https://cdn.shopify.com/s/files/1/0203/8454/products/Phoenix_30_ML_grande.jpg?v=1633710490,1458,
Moisturizer,OLEHENRIKSEN Invigorating Night Transformation™ Gel,1,1,1,1,1,6,49,4.6,https://picknpamper.com/wp-content/uploads/2022/02/ole-henriksen-invigorating-night-transformation-gel-30-ml-1587640821.jpg,1234568,
Moisturizer,BELIF Aqua Bomb Sleeping Mask,1,1,1,1,1,5,35,4.5,https://www.sephora.com/productimages/sku/s2111649-main-zoom.jpg,38,
Moisturizer,CHARLOTTE TILBURY Charlotte's Magic Cream Mini,0,0,0,0,0,7,93,4.4,https://www.sephora.com/productimages/sku/s2142065-main-zoom.jpg,14578,
Moisturizer,YOUTH TO THE PEOPLE Superfood Air-Whip Hyaluronic Acid Moisture Cream,1,0,1,1,1,5,44,4.1,https://m.media-amazon.com/images/I/61kWySchXVL._SL1500_.jpg,148,
Moisturizer,SK-II Facial Treatment Essence Karan Singh Limited Edition,0,0,1,0,0,3,131,4.6,https://images.squarespace-cdn.com/content/5552257ee4b03b3ccda63bec/1557301335565-0TBPYX01Y8NFCUKPDVWW/image-asset.jpeg?format=1500w&content-type=image%2Fjpeg,148,
Moisturizer,TATCHA The Indigo Cream Soothing Skin Protectant,1,1,1,1,1,5,86.51588,4.6,https://assets.tatcha.com/large/images/large/INDG-CREAM-V2_Closed.jpg,1458,
Moisturizer,KIEHL'S SINCE 1851 Super Multi-Corrective Cream,1,1,1,1,1,5,53.60223,4,https://cdn.cosmostore.org/cache/front/shop/products/299/953972/350x350.jpg,1458,
Moisturizer,BIOSSANCE Squalane + Omega Repair Cream,1,1,1,0,1,3,56.4234,4.7,https://www.sephora.com/productimages/sku/s2105856-main-zoom.jpg,1248,
Moisturizer,SHISEIDO Bio-Performance Advanced Super Restoring Cream,1,1,1,0,0,10,101.56212,4.7,https://cdn.cosmostore.org/cache/front/shop/products/454/1340739/650x650.jpg,2458,
Moisturizer,ORIGINS High-Potency Night-a-Mins™ Resurfacing Cream with Fruit-Derived AHAs,0,1,1,0,0,3,48.90028,4.3,https://m.origins.com/media/export/cms/products/1000x1000/origins_sku_0RP801_1000x1000_0.jpg,2458,
Moisturizer,SHISEIDO Benefiance WrinkleResist24 Day Emulsion Broad Spectrum SPF 18,0,1,0,0,0,9,61.12535,4.6,https://cdn.cosmostore.org/cache/front/shop/products/111/267023/650x650.jpg,249,
Moisturizer,MAKE UP FOR EVER Mist & Fix Setting Spray,1,1,1,1,1,7,27.27131,4.2,https://makeupforever-tunisie.com/3391-large_default/-mist-fix-.jpg,N/A,
Moisturizer,IT COSMETICS Bye Bye Redness™ Neutralizing Correcting Cream,1,1,1,1,1,10,32.91365,4.4,https://dy6g3i6a1660s.cloudfront.net/iLXNf3NtxHMleGpK_zbUrQR-BH4/p_550x550-60/it-cosmetics-bye-bye-redness-correcting-cream.jpg,18,
Moisturizer,KIEHL'S SINCE 1851 Daily Reviving Concentrate,1,1,1,1,1,5,42.31755,4.3,https://www.kiehls.co.nz/on/demandware.static/-/Sites-kiehls-master-catalog/default/dwf3a7edf0/nextgen/skin-care/face-serums-and-oils/daily-reviving-concentrate/kiehls-face-serum-daily-reviving-concentrate-30ml-000-3605970879815-front.png,489,
Moisturizer,BOBBI BROWN BB Cream SPF 35,1,0,1,1,0,3,108.14485,4.1,https://m.bobbibrown.com.sg/media/export/cms/products/v2_1080x1080/bb_sku_E6Y802_1080x1080_0.jpg,289,
Moisturizer,FRESH Vitamin C Glow Moisturizer,1,0,1,1,1,7,45.13872,4.2,https://www.sephora.com/productimages/sku/s1926369-main-zoom.jpg,2589,
Moisturizer,KORRES Wild Rose + Vitamin C Advanced Brightening Sleeping Facial,1,1,1,1,1,5,47.0195,4.4,https://img.makeupalley.com/1/1/8/1/3281883.JPG,28,
